m,μ,D,N_mean,betau_mean,gammau_mean,Q_TS_u_mean,N_std,betau_std,gammau_std,Q_TS_u_std,N,betau,gammau,Q_TS_u,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.6896551847457886,0.10000000149011612,0.05000000074505806,840.2389999999999,0.0013295581758822506,0.08811264544606737,0.015062829400632336,4.99855404092024,0.00047468134426780894,0.030010159342123092,0.0011352925934079254,"[844.1, 844.105, 842.135, 838.605, 832.25]","[0.000777508637763826, 0.0018762183881935934, 0.0009048708449030916, 0.0016560665443581472, 0.001433126464192595]","[0.054771866116007296, 0.11921938263732784, 0.057044771915784026, 0.10344443107283492, 0.1060827754883828]","[0.014195401634062564, 0.01573752813249467, 0.015862467576151673, 0.016009238266215756, 0.01350951139423702]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7241379022598267,0.10000000149011612,0.05000000074505806,828.624,0.0010989680898989978,0.0787691968734523,0.013974985801976269,5.833005657463435,0.00020590361873313063,0.015208009320376635,0.00040054256427134323,"[831.515, 831.705, 821.285, 834.94, 823.675]","[0.0012020555107029516, 0.0010639316805519732, 0.0013988899828950353, 0.0009211242518370006, 0.0009088390235080286]","[0.08744507791652095, 0.07942284657080947, 0.099026850508413, 0.06480105902390262, 0.06315015034761538]","[0.013746405622172221, 0.013395788825113747, 0.014126370531961835, 0.014214648120136945, 0.014391715910496598]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7586206793785095,0.10000000149011612,0.05000000074505806,824.2239999999999,0.0012400567935461275,0.08866780108298494,0.013942547459223556,5.9976155678735985,0.0003062020912664303,0.01998564992205467,0.0004900470387704848,"[821.74, 821.95, 820.455, 834.89, 822.085]","[0.0011390158510163366, 0.001247163389918446, 0.0017315051495035477, 0.0008925568452209848, 0.0011900427320713231]","[0.08453658763360043, 0.0857329879481071, 0.12040004575209343, 0.06491369713026818, 0.08775568695085562]","[0.013473643577300206, 0.014547065485147156, 0.014381266540950975, 0.01374990001616778, 0.013560861676551668]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7931034564971924,0.10000000149011612,0.05000000074505806,812.7439999999999,0.0012803580083041548,0.10076243279074013,0.012722947005726747,4.952498611812008,0.00033335924702843116,0.026297046628504003,0.0003215711501229228,"[813.475, 816.77, 817.45, 805.325, 810.7]","[0.00140368064969633, 0.0013081593342159639, 0.0007007618981428003, 0.0015146729641451573, 0.0014745151953205226]","[0.11152394235993691, 0.10679660227036276, 0.05417761752376703, 0.11585196787171523, 0.11546203392791876]","[0.01258636145739929, 0.012249072596001423, 0.012934527765739884, 0.013074210062813774, 0.012770563146679372]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8275862336158752,0.10000000149011612,0.05000000074505806,805.4959999999999,0.0009654553809590232,0.08152132390631635,0.011770903247648151,2.046592900407921,0.000296743068317871,0.022182358891635185,0.00069033640853139,"[806.93, 804.645, 807.94, 802.675, 805.29]","[0.0009567853900634407, 0.0007844509329787393, 0.001072010031363465, 0.0013972585789857562, 0.0006167719714037149]","[0.08475160313877059, 0.06345306138703183, 0.09269890029953608, 0.1107348604798993, 0.05596819422634392]","[0.01128928957835546, 0.01236269639054895, 0.011564430946855903, 0.012618055171879571, 0.011020044150600872]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8620689511299133,0.10000000149011612,0.05000000074505806,798.21,0.0011210057641163158,0.09887571578499965,0.011268915650418779,1.580083067436652,0.00037303460664285976,0.03142838826252546,0.00032225127440685305,"[797.24, 796.79, 797.32, 800.505, 799.195]","[0.0013277072373398821, 0.0005473901927223551, 0.0013046309775830713, 0.0009534752447282938, 0.0014718251682079764]","[0.11775047684064192, 0.05110369805329797, 0.11384504388292242, 0.08357448648505458, 0.12810487366308135]","[0.011275599666035663, 0.010711361673894153, 0.01145970815316955, 0.01140868804379434, 0.011489220715200182]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8965517282485962,0.10000000149011612,0.05000000074505806,787.27,0.0008763530513686685,0.08100747273610553,0.010749068864586226,4.462609942623244,0.00041718218381313907,0.036904078262385016,0.0005138923983971146,"[794.0, 788.425, 781.82, 785.625, 786.48]","[0.0005780660662846318, 0.0011391912075040828, 0.0014724270460174788, 0.0007092888258321333, 0.00048279211120501596]","[0.053246772163629774, 0.10974482151310795, 0.1305400253283462, 0.06356596422608625, 0.04793978044935754]","[0.010856358851353623, 0.010380364119212837, 0.011279506360703516, 0.01115831144021339, 0.010070803551447764]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.931034505367279,0.10000000149011612,0.05000000074505806,782.6289999999999,0.0008657433611728991,0.08677981464022536,0.010091817976828586,3.173100612965173,9.501130533512937e-5,0.014777727273507226,0.0009561331020174105,"[780.905, 786.075, 785.68, 778.705, 781.78]","[0.0007391599553543675, 0.0008116871048024564, 0.000985759405220341, 0.0008745878378820049, 0.0009175225026053258]","[0.0635089289497991, 0.08062855892260477, 0.09710561744994511, 0.09471622276539379, 0.09793974511338406]","[0.011638677703707452, 0.010066992584868019, 0.010151414831675096, 0.009233770228024239, 0.009368234535868122]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9655172228813171,0.10000000149011612,0.05000000074505806,777.879,0.0007441274373125139,0.07935441704638287,0.009330265265956239,3.8376708431026456,0.0003335110834088898,0.034650972321495235,0.0002797606441283527,"[778.815, 776.335, 780.48, 772.04, 781.725]","[0.00048791377431404564, 0.0009929466666843165, 0.001200036898970652, 0.0004530649137557039, 0.0005866749328378516]","[0.05278751532236626, 0.10112035876237067, 0.12936697710484218, 0.04968099747347918, 0.06381623656885602]","[0.00924297670262413, 0.009819453558483772, 0.009276222772045702, 0.009119481024863884, 0.009193192271763706]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.10000000149011612,0.05000000074505806,769.897,0.0009494786291815314,0.10390457922069726,0.00915548004116599,5.2036304634360935,0.00012860514890514348,0.015271850363114455,0.00039349068560518995,"[773.54, 772.475, 760.78, 770.61, 772.08]","[0.0011069482360907081, 0.000850741037771244, 0.0008096566499079343, 0.0009237915522093612, 0.0010562556699284101]","[0.12274163335621348, 0.08877683800442916, 0.09343596363489533, 0.09687273467945266, 0.11769572642849563]","[0.009018522939793288, 0.009582916635629664, 0.008665364153268641, 0.009536135789560852, 0.0089744606875775]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
